Asset,Start,End,Duration,Returns,Total Returns,Buy & Hold Returns,Number Of Trades,Win Rate,Best Return,Worst Return,Avg Return,Avg Positive Return,Avg Negative Return,Volatility,Returns Annual,Volatility Annual,Max Drawdown,Avg Drawdown,Profit Factor,Win Loss Ratio,Sharpe Ratio,SQN
AAPL,2016-03-30,2023-07-27,7Y 4M,10.16105784865208,2.457304729510806,7.120527625201182,76,1.0,0.09014750477633596,0.014824391616758525,0.03233295696724745,0.03233295696724745,0.0,0.013157633814538595,0.255161818760814,0.20887096149193968,0.0,0.0,245.7304729510806,76.0,1.0779948402234123,21.42271079323593
LSXMK,2017-02-21,2021-11-05,4Y 8M 2W 4D,0.6978052502407883,0.5797869929767472,-0.1490858462085508,3,1.0,0.22497728172165443,0.16028701223020247,0.19326233099224907,0.19326233099224907,0.0,0.03236354642807935,0.08073808510242686,0.5137553723567442,0.0,0.0,57.978699297674716,3.0,0.09875923023379127,10.343124082882971
DAL,2016-12-09,2016-12-09,,0.3186703457854936,0.3186703457854936,0.04987984853633254,1,1.0,0.3186703457854936,0.3186703457854936,0.3186703457854936,0.3186703457854936,0.0,0.0,1.8807559928938552e+30,0.0,0.0,0.0,31.867034578549358,1.0,1.880755992893855e+32,31.867034578549358
UAL,2018-08-20,2020-01-30,1Y 5M 1W 6D,0.5280916126398123,0.5980981468462687,-0.1815613599626723,2,0.5,0.6983445561445042,-0.10024640929823543,0.29904907342313436,0.6983445561445042,-0.10024640929823543,0.564689087058873,0.22430460365006266,8.96416135457928,-0.24379504645191585,-0.12189752322595793,6.966279999784458,1.0,0.021675714655761243,0.7489417896365539
LUV,2017-03-01,2017-03-01,,0.500628604934436,0.500628604934436,-0.3839535763472043,1,1.0,0.500628604934436,0.500628604934436,0.500628604934436,0.500628604934436,0.0,0.0,2.6354307961009765e+44,0.0,0.0,0.0,50.062860493443594,1.0,2.6354307961009764e+46,50.062860493443594
SIRI,2016-11-10,2023-07-20,6Y 8M 1W 6D,1.4314337876045666,0.9167807417154656,0.2378642111232958,15,1.0,0.09072978748958027,0.03272254486747517,0.061118716114364376,0.061118716114364376,0.0,0.0148802574295112,0.09597949809204387,0.23621676361864724,0.0,0.0,91.67807417154656,15.0,0.2793175940661113,15.907773825408063
SYF,2017-12-04,2021-05-10,3Y 5M 1W 1D,0.3994608175519576,0.36820524417051104,0.2621493207435439,2,1.0,0.2354660534077424,0.13273919076276863,0.18410262208525552,0.18410262208525552,0.0,0.07263886118627999,0.06992967569126307,1.1531061733070345,0.0,0.0,36.820524417051104,2.0,0.034627926391849355,3.5843131454626067
TEVA,2017-12-18,2020-02-12,2Y 1M 3W 5D,2.2090484046112038,1.241984129948156,-0.3771192309117476,10,1.0,0.21248731393393783,0.06699544454903195,0.1241984129948156,0.1241984129948156,0.0,0.03683690498597134,0.45328115887707776,0.5847677379731726,0.0,0.0,124.1984129948156,10.0,0.7238449240448634,10.661858453945658
JPM,2018-08-21,2021-10-25,3Y 2M 6D,0.721686140654626,0.5484113739312583,0.5642306490121975,31,1.0,0.030206066869844728,0.009755526739728015,0.017690689481653494,0.017690689481653494,0.0,0.004653939720539028,0.12516138278945266,0.07387900270339025,0.0,0.0,54.84113739312583,31.0,1.2880707549817234,21.16434598736789
ORCL,2018-09-25,2023-06-15,4Y 8M 3W 3D,1.1246674294357417,0.7706908310785697,1.4487754110882167,18,1.0,0.06763982230286625,0.026886457631338456,0.04281615728214276,0.04281615728214276,0.0,0.011508648021001315,0.11645358865167399,0.1826941235408708,0.0,0.0,77.06908310785697,18.0,0.47321493968213657,15.784093024639457
PNC,2019-07-05,2021-10-22,2Y 3M 2W 6D,0.4543171196936582,0.3872052272715564,0.09551079741934787,6,1.0,0.08500144858986958,0.03635224537330628,0.06453420454525939,0.06453420454525939,0.0,0.017617537365609084,0.1189166462686646,0.2796697354967379,0.0,0.0,38.72052272715564,6.0,0.317934459768178,8.97264293026912
STNE,2020-03-03,2020-12-18,9M 2W 6D,2.983216598016752,1.7762837456299128,-0.43418329763068986,3,1.0,0.7747722313804124,0.41179420772702424,0.5920945818766375,0.5920945818766375,0.0,0.18150068868302408,2.32339973836516,2.8812341102534225,0.0,0.0,177.62837456299127,3.0,0.795978268549459,5.650325109716823
AMZN,2019-03-18,2021-11-19,2Y 8M 1W,2.560032900241378,1.297718963287535,0.6844873682820676,33,1.0,0.06594440865729462,0.01884836753924462,0.03932481706931924,0.03932481706931924,0.0,0.014447962627754676,0.3875156241370574,0.22935429638756485,0.0,0.0,129.77189632875348,33.0,1.5587919204832528,15.635690722537506
RH,2020-06-04,2021-04-29,10M 4W 1D,5.659244270416646,3.213981271055604,0.8193374974649461,2,1.0,1.9773362893608235,1.2366449816947807,1.606990635527802,1.606990635527802,0.0,0.5237478464165903,3.2727597027113555,8.314239307943698,0.0,0.0,321.39812710556043,2.0,0.39002482158687884,4.339164288538808
KR,2019-11-05,2022-04-07,2Y 5M 4D,5.257538399889595,1.9016535263975414,0.8250014775405843,34,1.0,0.15969792372210723,0.0235081340463561,0.05593098607051592,0.05593098607051592,0.0,0.0339252404988912,0.6866658766402902,0.5385464971687377,0.0,0.0,190.16535263975413,34.0,1.2193299558952349,9.613222615742401
BIIB,2019-10-30,2021-06-10,1Y 7M 2W,1.259772717017683,0.9025840953281294,-0.11378861403786744,6,1.0,0.3289692722819042,0.039772886910284466,0.15043068255468825,0.15043068255468825,0.0,0.11793148639531434,0.41737384321905413,1.8721043084771931,0.0,0.0,90.25840953281295,6.0,0.206918942211159,3.1245125893047474
GOLD,2020-04-09,2020-09-10,5M 4D,0.8985588439264074,0.6615695707478526,-0.2704396376180719,13,1.0,0.1112752480703707,0.02132526329798593,0.050889966980604044,0.050889966980604044,0.0,0.0279829858746205,1.8549796098736646,0.44421612939167465,0.0,0.0,66.15695707478525,13.0,4.108314599861235,6.557069577112296
CVX,2022-11-14,2022-11-14,,1.152160324271505,1.152160324271505,1.0675738471229375,1,1.0,1.152160324271505,1.152160324271505,1.152160324271505,1.152160324271505,0.0,0.0,7.663099017969462e+83,0.0,0.0,0.0,115.21603242715051,1.0,7.663099017969463e+85,115.21603242715051
ABBV,2020-11-23,2022-04-07,1Y 4M 2W 1D,0.49054736423969003,0.40337364790289976,0.7766613648448875,23,1.0,0.03906587078403277,0.009335533792397736,0.017537984691430423,0.017537984691430423,0.0,0.008342285505154312,0.2228305314148975,0.13242967687522292,0.0,0.0,40.337364790289975,23.0,1.4560975754444008,10.082275389228855
MRK,2021-11-04,2023-04-17,1Y 5M 2W,0.30498404291034475,0.2789256599524611,0.46879181933872016,3,1.0,0.1218600615175437,0.07780093692329537,0.0929752199841537,0.0929752199841537,0.0,0.02502571028411395,0.1351961478296766,0.39727083476710257,0.0,0.0,27.89256599524611,3.0,0.26479705687770194,6.434894475689366
